City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bridlington,54.0831,-0.1919,62.35,91,68,7.7,GB,1622744225
Broken Hill,-31.95,141.4333,47.91,93,67,8.05,AU,1622744279
Buala,-8.145,159.5921,79.02,83,90,1.16,SB,1622744155
Bukachacha,52.9833,116.9167,46.44,86,18,5.32,RU,1622744110
Bulgan,48.8125,103.5347,54,50,1,1.01,MN,1622744246
Buraidah,26.326,43.975,102.65,10,22,10.11,SA,1622744158
Busca,44.5181,7.4743,67.75,59,75,4.36,IT,1622744217
Busselton,-33.65,115.3333,48.04,84,2,5.53,AU,1622744111
Butaritari,3.0707,172.7902,82.45,75,100,15.39,KI,1622744085
Bykovo,55.6361,38.0803,62.11,48,0,7.34,RU,1622744233
Byron Bay,-28.65,153.6167,53.26,83,27,9.75,AU,1622743942
Câmara de Lobos,32.6333,-16.9667,65.34,82,75,7.27,PT,1622744222
Cabedelo,-6.9811,-34.8339,84.87,69,7,13.47,BR,1622744266
Cabo San Lucas,22.8909,-109.9124,89.08,45,1,9.22,MX,1622744103
Cairns,-16.9167,145.7667,65.62,97,64,0,AU,1622744025
Camabatela,-8.1881,15.375,67.93,49,14,1.41,AO,1622744199
Camacha,33.0833,-16.3333,63.81,52,40,16.11,PT,1622744246
Camacupa,-12.0167,17.4833,62.89,37,8,5.37,AO,1622744171
Camapuã,-19.5314,-54.0439,92.43,23,0,4.38,BR,1622744181
Camocim,-2.9022,-40.8411,88.32,54,2,10.8,BR,1622744291
Campo Largo,-25.4586,-49.5283,76.32,57,30,2.53,BR,1622744208
Camrose,53.0168,-112.8353,77.02,60,99,13,CA,1622744144
Cape Town,-33.9258,18.4232,57.25,81,0,2.93,ZA,1622743929
Carnarvon,-24.8667,113.6333,53.67,94,91,10.36,AU,1622744100
Carutapera,-1.195,-46.02,83.01,78,31,7.54,BR,1622744283
Castro,-24.7911,-50.0119,73.09,58,9,3.42,BR,1622744121
Cayenne,4.9333,-52.3333,83.08,80,75,5.01,GF,1622744176
Celestún,20.8667,-90.4,88.25,56,15,7.11,MX,1622744200
Chapais,49.7834,-74.8492,76.78,52,100,9.26,CA,1622744140
Charters Towers,-20.1,146.2667,61.27,75,69,10.83,AU,1622744226
Cherskiy,68.75,161.3,59.9,39,83,6.08,RU,1622744195
Chimoio,-19.1164,33.4833,60.66,94,20,5.03,MZ,1622744187
Chkalovskoye,44.8392,133.0436,52.34,98,100,5.39,RU,1622744250
Chokurdakh,70.6333,147.9167,55.56,63,100,11.88,RU,1622744148
Chui,-33.6971,-53.4616,60.26,44,41,7.25,UY,1622744115
Cidreira,-30.1811,-50.2056,66,61,3,3.65,BR,1622744094
Clyde River,70.4692,-68.5914,28.63,93,90,13.8,CA,1622744093
Codrington,-38.2667,141.9667,51.96,66,89,18.5,AU,1622744172
College,64.8569,-147.8028,61.02,53,75,4.61,US,1622744230
Colombia,20.9881,-77.4297,90.32,48,1,10.78,CU,1622744292
Concarneau,47.875,-3.9225,61.45,70,88,9.35,FR,1622744164
Conceição do Araguaia,-8.2578,-49.2647,92.26,36,17,10.16,BR,1622744092
Constitución,-35.3333,-72.4167,62.71,79,100,11.61,CL,1622744164
Coquimbo,-29.9533,-71.3436,60.53,82,75,7.07,CL,1622744237
Cotonou,6.3654,2.4183,84.18,79,40,11.5,BJ,1622744224
Cururupu,-1.8283,-44.8683,85.05,64,40,6.76,BR,1622744206
Dawei,14.0833,98.2,80.89,87,70,0.76,MM,1622744165
Departamento de Maldonado,-34.6667,-54.9167,60.19,53,61,8.81,UY,1622743978
Derzhavīnsk,51.1,66.3167,70.81,40,1,1.3,KZ,1622744285
Dicabisagan,17.0818,122.4157,81.28,81,93,7.34,PH,1622744182
Dikson,73.5069,80.5464,30.83,98,100,12.71,RU,1622744155
Diré,12.2833,-10.9667,97.38,28,72,8.25,ML,1622744210
Dispur,26.1425,91.7889,78.75,87,51,3.76,IN,1622744134
Doha,25.2867,51.5333,93.51,45,70,8.14,QA,1622744025
Domoni,-12.2569,44.5319,76.62,78,28,4.41,KM,1622744170
Dubai,25.2582,55.3047,92.37,62,0,3.44,AE,1622743880
Dubbo,-32.25,148.6167,51.93,93,75,12.66,AU,1622744275
Dukat,62.55,155.55,39.22,74,73,3.56,RU,1622744101
Dunedin,-45.8742,170.5036,46.8,78,91,3.69,NZ,1622744232
Dunmore Town,25.5,-76.65,78.87,78,2,16.64,BS,1622744183
Dvinskoy Bereznik,62.8551,42.7072,59.25,62,1,1.45,RU,1622744125
Dzaoudzi,-12.7887,45.2699,76.89,83,0,5.75,YT,1622744177
East London,-33.0153,27.9116,59.94,67,40,4.61,ZA,1622744024
Eenhana,-17.4667,16.3333,65.95,23,0,7.09,NA,1622744263
Elban,50.1018,136.5094,53.69,99,100,3.6,RU,1622744251
Erenhot,43.6475,111.9767,54.82,68,70,15.73,CN,1622744224
Esperance,-33.8667,121.9,53.44,87,40,8.86,AU,1622744190
Eureka,40.8021,-124.1637,60.33,78,30,1.99,US,1622744128
Faanui,-16.4833,-151.75,80.24,75,7,3.69,PF,1622744096
Faya,18.3851,42.4509,79.32,16,3,14.27,SA,1622744091
Floreşti,47.8933,28.3014,56.19,79,100,7.94,MD,1622744149
Fort Saint James,54.4333,-124.25,65.37,32,43,10.98,CA,1622744264
Fortuna,40.5982,-124.1573,60.4,84,90,1.99,US,1622744247
Freeport,40.6576,-73.5832,66.69,93,90,4,US,1622743988
Gadu,17.6292,121.6105,79.29,81,95,1.61,PH,1622744271
Gardez,33.5974,69.2259,66.52,21,1,5.79,AF,1622744238
Garissa,-0.4536,39.6401,80.67,57,91,21.9,KE,1622744114
George Town,5.4112,100.3354,80.87,85,20,3.33,MY,1622743900
Geraldton,-28.7667,114.6,48.61,87,0,10.92,AU,1622744107
Golovino,55.9613,40.4251,52.75,77,38,5.91,RU,1622744104
Greeley,40.4233,-104.7091,79.66,38,1,4,US,1622744180
Grindavik,63.8424,-22.4338,48.97,87,90,31.59,IS,1622744149
Grootfontein,-19.5667,18.1167,42.37,52,0,1.14,NA,1622744162
Guadalupe,25.6833,-100.25,80.62,69,75,5.37,MX,1622743888
Guadalupe y Calvo,26.1,-106.9667,75.06,18,15,6.29,MX,1622744150
Gunjur,13.2019,-16.7339,84.27,61,0,11.88,GM,1622744285
Hāgere Hiywet,8.9833,37.85,60.15,75,85,3.83,ET,1622744080
Hagi,34.4,131.4167,65.86,99,100,8.03,JP,1622744252
Hailar,49.2,119.7,47.25,90,93,10.16,CN,1622744257
Half Moon Bay,37.4636,-122.4286,66.36,69,20,5.93,US,1622744220
Halifax,44.6453,-63.5724,66.72,66,90,8.01,CA,1622744109
Hamilton,39.1834,-84.5333,70.27,88,90,1.01,US,1622744139
Hanstholm,57.1167,8.6167,61.63,95,89,20.58,DK,1622744240
Hanyang,32.1371,105.5126,58.96,77,95,2.04,CN,1622744087
Harper,4.375,-7.7169,81.5,79,96,6.35,LR,1622744169
Hasaki,35.7333,140.8333,68.23,77,100,19.64,JP,1622744212
Hay River,60.8156,-115.7999,51.78,93,75,3.44,CA,1622744248
Heihe,50.2441,127.4902,50.58,99,58,5.91,CN,1622744256
Hermanus,-34.4187,19.2345,57.79,82,31,10.76,ZA,1622744157
Hilo,19.7297,-155.09,75.88,76,40,3.44,US,1622743754
Hirara,24.8,125.2833,82.78,88,28,19.51,JP,1622744244
Hithadhoo,-0.6,73.0833,83.25,74,98,16.13,MV,1622744139
Hobart,-42.8794,147.3294,51.12,63,90,1.99,AU,1622743798
Hobyo,5.3505,48.5268,78.98,86,51,24.14,SO,1622744130
Hofn,64.2539,-15.2082,48.13,81,100,3.98,IS,1622744169
Hong Kong,22.2855,114.1577,84.45,86,98,5.99,HK,1622744055
Honiara,-9.4333,159.95,77.5,88,80,4.05,SB,1622744187
Honningsvåg,70.9821,25.9704,60.55,41,0,29.93,NO,1622744089
Huaicheng,23.9051,112.1931,72.84,97,100,4.38,CN,1622744230
Hualmay,-11.0964,-77.6139,68.88,72,95,9.24,PE,1622744245
Huarmey,-10.0681,-78.1522,70.79,69,88,10.27,PE,1622744167
Hue,16.4667,107.6,89.71,62,20,5.86,VN,1622744214
Igrim,63.1906,64.4162,40.66,52,31,7.67,RU,1622744132
Ilebo,-4.3167,20.5833,78.87,58,19,1.43,CD,1622744191
Ilulissat,69.2167,-51.1,39.22,81,20,6.91,GL,1622744182
Inongo,-1.95,18.2667,76.71,68,23,7.05,CD,1622744199
Inyonga,-6.7167,32.0667,69.75,58,98,3.71,TZ,1622744095
Iqaluit,63.7506,-68.5145,33.53,69,75,10.36,CA,1622744205
Iskateley,67.6803,53.1512,47.35,56,5,9.15,RU,1622744283
Itarema,-2.9248,-39.9167,84.51,62,2,16.06,BR,1622744139
Jacareacanga,-6.2222,-57.7528,94.46,35,49,3.02,BR,1622744154
Jaciara,-15.9653,-54.9683,92.62,24,9,8.34,BR,1622744214
Jaicós,-7.3592,-41.1378,96.98,24,2,10.89,BR,1622744160
Jalu,29.0331,21.5482,91.45,18,6,12.66,LY,1622744258
Jamestown,42.097,-79.2353,65.62,88,90,16.11,US,1622744098
Jijiga,9.35,42.8,66.83,46,92,1.01,ET,1622744247
Jiupu,41.0667,122.95,55.94,63,47,8.1,CN,1622744241
Jiuquan,39.7432,98.5174,62.85,9,0,6.8,CN,1622744092
Joppatowne,39.4579,-76.3552,79.03,78,75,3,US,1622744192
Juegang,32.3174,121.1855,64,92,100,8.25,CN,1622744260
Jumla,29.2747,82.1838,55.45,86,14,3.2,NP,1622744108
Kédougou,12.5579,-12.1743,104.36,19,22,5.23,SN,1622744204
Kānt,27.8,79.8,93.33,33,20,6.08,IN,1622744286
Kaeo,-35.1,173.7833,52.32,93,60,2.48,NZ,1622744235
Kahului,20.8947,-156.47,79.61,66,20,16.11,US,1622744139
Kailua,21.4022,-157.7394,79.34,71,50,14.07,US,1622744278
Kaitangata,-46.2817,169.8464,45.93,83,81,4.41,NZ,1622744121
Kalach-na-Donu,48.691,43.5264,58.05,88,100,6.71,RU,1622744252
Kambove,-10.8764,26.5969,64.85,64,72,3.2,CD,1622744142
Kandy,7.2955,80.6356,72.28,92,91,3,LK,1622744169
Kangaatsiaq,68.3065,-53.4641,33.26,99,100,10.45,GL,1622744223
Kantunilkín,21.0917,-87.45,87.64,63,21,5.44,MX,1622744172
Kapaa,22.0752,-159.319,74.98,86,75,8.88,US,1622744131
Kapit,2.0167,112.9333,76.8,94,99,0.67,MY,1622744151
Karasjok,69.4719,25.5112,71.71,37,9,14.65,NO,1622744120
Karratha,-20.7377,116.8463,67.77,50,100,11.7,AU,1622744174
Kaseda-shirakame,31.4167,130.3167,77.34,95,100,16.2,JP,1622744252
Kashgar,39.4547,75.9797,72.61,30,70,4.32,CN,1622744212
Kassala,15.451,36.4,98.37,21,72,2.24,SD,1622744132
Kathu,7.9178,98.3332,87.62,65,54,6.22,TH,1622744267
Katsuura,35.1333,140.3,70.29,86,99,16.67,JP,1622744174
Kattivākkam,13.2167,80.3167,86.07,88,100,10.76,IN,1622744235
Kavaratti,10.5669,72.642,84.04,76,99,18.25,IN,1622744105
Kavieng,-2.5744,150.7967,81.01,81,100,4.9,PG,1622744112
Kenai,60.5544,-151.2583,48.87,76,1,4.61,US,1622744168
Ketchikan,55.3422,-131.6461,52.27,76,90,8.05,US,1622744114
Khani,41.9563,42.9566,54.97,93,21,1.95,GE,1622744208
Khatanga,71.9667,102.5,32.02,90,100,8.48,RU,1622744102
Kichera,55.9375,110.0997,55.53,64,5,1.34,RU,1622744128
Kirakira,-10.4544,161.9205,79.3,88,100,8.46,SB,1622744259
Kiryat Gat,31.61,34.7642,70.21,50,18,7.7,IL,1622744205
Kismayo,-0.3582,42.5454,78.8,84,66,15.43,SO,1622744277
Klaksvík,62.2266,-6.589,54.52,92,89,18.37,FO,1622744225
Kloulklubed,7.0419,134.2556,75.7,74,30,7.74,PW,1622744204
Korhogo,9.45,-5.6333,94.44,33,37,5.35,CI,1622744167
Koumra,8.9126,17.5539,89.01,38,63,5.28,TD,1622744243
Krasnyy Chikoy,50.3643,108.7512,45.34,93,11,3.02,RU,1622744227
Kruisfontein,-34.0033,24.7314,47.88,69,12,4.47,ZA,1622744178
Kuandian,40.7286,124.7847,49.17,96,21,3.78,CN,1622744254
Kudahuvadhoo,2.6708,72.8944,83.46,75,96,15.5,MV,1622744294
Kudeyevskiy,54.8758,56.7567,60.03,69,72,9.51,RU,1622744135
Kumluca,36.3703,30.2869,70.68,58,1,4.61,TR,1622744268
Kumul,42.8,93.45,82.13,11,0,5.35,CN,1622744229
Kunming,25.0389,102.7183,55.33,58,75,17.9,CN,1622743838
Kununurra,-15.7667,128.7333,66.18,77,7,0,AU,1622744274
Kutum,14.2,24.6667,89.83,13,98,15.97,SD,1622744223
Kwinana,-32.25,115.7667,45.75,74,0,6.67,AU,1622744234
Kyrylivka,46.3759,35.3675,62.85,76,77,12.33,UA,1622744246
Kysyl-Syr,63.8986,122.7617,61.86,62,31,5.79,RU,1622744241
La Macarena,2.1837,-73.7849,82.8,74,68,3.29,CO,1622744231
Lázaro Cárdenas,17.9583,-102.2,87.84,58,50,12.41,MX,1622744119
Lüderitz,-26.6481,15.1594,71.71,29,0,13.44,NA,1622744106
Labuan,5.2767,115.2417,78.96,84,100,7.16,MY,1622744084
Labuhan,-6.8844,112.2051,79.3,87,86,10.47,ID,1622744084
Laela,-8.5667,32.05,63.54,68,92,3.2,TZ,1622744213
Lagoa,39.05,-27.9833,61.5,67,80,12.71,PT,1622744163
Laguna,38.421,-121.4238,79.79,50,1,5.06,US,1622744114
Lata,40.1629,-8.3327,59.9,56,46,11.92,PT,1622744154
Lavrentiya,65.5833,-171,30.96,71,97,7.07,RU,1622744128
Le Port,-20.9373,55.2919,70.14,88,11,11.7,RE,1622744101
Lebu,-37.6167,-73.65,58.01,95,100,7.81,CL,1622744137
Leningradskiy,69.3833,178.4167,27.81,84,74,6.55,RU,1622744137
Leshukonskoye,64.8989,45.7622,58.89,64,10,3.98,RU,1622744204
Lethem,3.3803,-59.7968,77.85,86,100,4.88,GY,1622744141
Lexington,37.9887,-84.4777,72.97,73,75,1.99,US,1622744006
Liezen,47.5667,14.2333,65.84,78,41,3.27,AT,1622744100
Liku,-0.7275,119.8922,75.11,88,88,3.42,ID,1622744187
Loandjili,-4.7561,11.8578,78.08,82,19,9.42,CG,1622744125
Locri,38.2414,16.2623,70.61,78,22,1.05,IT,1622744280
Loikaw,19.6742,97.2094,73.38,72,81,3.22,MM,1622744293
Longido,-2.7333,36.6833,67.68,62,100,4.32,TZ,1622744282
Longyearbyen,78.2186,15.6401,37.24,65,40,3.44,SJ,1622744084
Lorengau,-2.0226,147.2712,79.29,79,100,3.58,PG,1622744097
Los Llanos de Aridane,28.6585,-17.9182,63.12,94,75,13.15,ES,1622743945
Lotofaga,-13.9764,-171.8578,71.38,65,75,11.45,WS,1622744143
Luanda,-8.8368,13.2343,78.8,73,0,9.22,AO,1622743893
Lufilufi,-13.8745,-171.5986,71.38,61,86,12.53,WS,1622744267
Lukaya,-0.1489,31.8748,75.25,79,95,2.77,UG,1622744210
Märsta,59.6216,17.8548,65.34,42,0,9.22,SE,1622744138
Mabaruma,8.2,-59.7833,74.57,99,100,2.15,GY,1622744224
Maceió,-9.6658,-35.7353,80.04,78,75,8.9,BR,1622743965
Mackay,-21.15,149.2,64.38,94,56,8.05,AU,1622744185
Magadan,59.5667,150.8,37.99,95,100,1.28,RU,1622744251
Mahébourg,-20.4081,57.7,75.49,73,40,11.5,MU,1622744097
Mahanoro,-19.9,48.8,69.51,86,49,3,MG,1622744198
Mahdasht,35.7299,50.8111,87.28,15,0,6.91,IR,1622744191
Mahibadhoo,3.7833,72.9667,83.61,68,99,16.31,MV,1622744136
Makakilo City,21.3469,-158.0858,78.67,62,75,8.05,US,1622744242
Manaus,-3.1019,-60.025,82.89,78,75,9.22,BR,1622743712
Manerbio,45.3558,10.1352,80.13,41,0,2.89,IT,1622744215
Maniitsoq,65.4167,-52.9,35.33,79,100,13.53,GL,1622744196
Maningrida,-12.0667,134.2667,68.83,88,14,6.58,AU,1622744162
Maniwaki,46.3834,-75.966,68.38,68,100,6.67,CA,1622744247
Mapastepec,15.4333,-92.9,88.36,64,23,6.02,MX,1622744290
Mar del Plata,-38.0023,-57.5575,53.35,60,0,1.99,AR,1622744145
Maralal,1.0968,36.698,62.56,69,83,5.82,KE,1622744151
Marawi,7.9986,124.2928,70.65,94,100,1.99,PH,1622744201
Mataura,-46.1927,168.8643,49.48,92,86,3.38,NZ,1622744087
Mateare,12.2351,-86.4281,93.18,43,67,7.49,NI,1622744207
Mayo,38.8876,-76.5119,80.71,78,100,1.01,US,1622744280
Mayya,61.7333,130.2811,47.52,80,34,3.24,RU,1622744234
Mbandaka,0.0487,18.2603,76.78,71,21,3.76,CD,1622744278
Merauke,-8.4667,140.3333,75.79,89,94,10.78,ID,1622744293
Mildura,-34.2,142.15,48.16,100,75,6.91,AU,1622744147
Miles City,46.4083,-105.8406,88.77,25,1,4.61,US,1622744218
Minas,-34.3759,-55.2377,60.53,57,56,10.27,UY,1622744228
Moerai,-22.4333,-151.3333,77.05,72,39,4.61,PF,1622744186
Mogadishu,2.0371,45.3438,78.64,85,18,17.27,SO,1622744223
Morón,-34.6534,-58.6198,66.18,56,78,7,AR,1622744209
Mount Gambier,-37.8333,140.7667,49.91,87,90,9.22,AU,1622744168
Mount Isa,-20.7333,139.5,53.37,76,85,5.75,AU,1622744109
Muborak,39.2553,65.1528,92.95,12,0,16.8,UZ,1622744186
Muros,42.7762,-9.0603,62.82,54,14,14.58,ES,1622744194
Muroto-misakicho,33.2833,134.15,73.35,93,100,26.6,JP,1622744236
Nānākuli,21.3906,-158.1547,80.06,63,75,8.01,US,1622744259
Najrān,17.4924,44.1277,86.65,10,8,7.23,SA,1622744269
Nanortalik,60.1432,-45.2371,36.93,92,100,11.86,GL,1622744145
Nantucket,41.2835,-70.0995,64.4,94,90,12.66,US,1622744188
Nara,34.6851,135.8049,69.26,93,100,4.85,JP,1622743881
Narsaq,60.9167,-46.05,52.02,75,100,6.26,GL,1622744228
Naze,28.3667,129.4833,75.52,91,95,14.47,JP,1622744160
Nchelenge,-9.3451,28.734,71.55,69,81,4.65,ZM,1622744196
Neiafu,-18.65,-173.9833,72.28,94,75,5.75,TO,1622744126
Nelson Bay,-32.7167,152.15,56.93,87,81,1.99,AU,1622744140
Nemuro,43.3236,145.575,49.73,100,100,12.35,JP,1622744085
Neuquén,-38.9516,-68.0591,78.69,24,48,25.32,AR,1622744282
New Norfolk,-42.7826,147.0587,50.29,56,100,7.65,AU,1622744133
Nexø,55.0607,15.1306,64.49,78,0,13.65,DK,1622744271
Nhulunbuy,-12.2333,136.7667,74.01,83,40,5.75,AU,1622744266
Nichinan,31.6,131.3667,77.27,95,96,13.96,JP,1622744270
Nikolskoye,59.7035,30.7861,69.69,71,95,4.94,RU,1622744102
Nizhniy Baskunchak,48.2198,46.8311,61.61,82,51,9.71,RU,1622744226
Nome,64.5011,-165.4064,35.67,69,20,19.57,US,1622744104
Norman Wells,65.282,-126.8329,53.64,76,90,8.05,CA,1622744127
Northam,51.0333,-4.2167,58.1,78,92,10.36,GB,1622744249
Novoukrayinka,48.3264,31.5285,56.26,85,100,12.12,UA,1622744166
Nueva Loja,0.0847,-76.8828,84.22,70,40,4.61,EC,1622744117
Okhotsk,59.3833,143.3,35.2,96,31,2.8,RU,1622744220
Omboué,-1.5746,9.2618,77.25,88,69,6.87,GA,1622744261
Oodweyne,9.4092,45.064,78.62,46,91,20.56,SO,1622744216
Ostrovnoy,68.0531,39.5131,67.01,46,11,11.5,RU,1622744171
Oudtshoorn,-33.5907,22.2014,50.36,72,0,1.9,ZA,1622744190
Paamiut,61.994,-49.6678,36.07,71,100,8.84,GL,1622744138
Pachino,36.7186,15.0907,75.24,72,3,6.04,IT,1622744258
Padang,-0.9492,100.3543,78.85,89,89,2.37,ID,1622744124
Pagudpud,18.5616,120.7868,80.56,80,94,13.6,PH,1622744233
Palmer,42.1584,-72.3287,68.65,64,90,7.65,US,1622744289
Palora,-1.7,-77.9333,78.91,52,60,4.61,EC,1622744137
Panórama,40.5878,23.0315,69.31,47,20,3,GR,1622744279
Pangai,-19.8,-174.35,71.71,78,75,11.5,TO,1622744119
Pangnirtung,66.1451,-65.7125,39.2,60,90,16.11,CA,1622744217
Pasni,25.2631,63.471,84.52,83,8,7.83,PK,1622744262
Peno,56.9262,32.7426,56.59,72,68,4.76,RU,1622744231
Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,76,15,11.18,RU,1622744219
Pevek,69.7008,170.3133,31.48,77,13,2.44,RU,1622744151
Pinega,64.7001,43.3936,62.22,58,6,3.76,RU,1622744136
Pisco,-13.7,-76.2167,68.05,64,75,9.22,PE,1622744081
Poltár,48.4309,19.7941,60.67,79,85,1.14,SK,1622744219
Polunochnoye,60.8697,60.4153,42.21,54,6,4.7,RU,1622744123
Ponnāni,10.767,75.9252,81.72,86,100,3.65,IN,1622744264
Ponta Delgada,37.7333,-25.6667,65.12,68,40,11.5,PT,1622744173
Ponta do Sol,32.6667,-17.1,66.81,50,92,5.26,PT,1622744141
Port Alfred,-33.5906,26.891,57.09,66,61,2.84,ZA,1622744129
Port Augusta,-32.5,137.7667,54.72,66,82,10.38,AU,1622744192
